id,title,original_title,year,rating,rating_count,director,screenwriter,actors,genre,region,language,duration,release_date,aka,imdb,synopsis,poster_url,ranking,tags,url
2149806,入殓师, おくりびと,2008,8.9,745011,泷田洋二郎 Yôjirô Takita   主演: 本木雅弘 Masahiro Motoki,,,剧情,日本,,,,,,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2707581855.jpg,120,,https://movie.douban.com/subject/2149806/
1418834,断背山, Brokeback Mountain,2005,8.8,785566,李安 Ang Lee   主演: 希斯·莱杰 Heath Ledger,,,剧情 爱情 同性 家庭,美国 加拿大,,,,,,每个人心中都有一座断背山。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2169104127.jpg,121,,https://movie.douban.com/subject/1418834/
1292370,剪刀手爱德华, Edward Scissorhands,1990,8.7,1123682,蒂姆·波顿 Tim Burton   主演: 约翰尼·德普 Johnny Depp,,,剧情 爱情 奇幻,美国,,,,,,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg,122,,https://movie.douban.com/subject/1292370/
1294639,勇敢的心, Braveheart,1995,8.9,607254,梅尔·吉布森 Mel Gibson   主演: 梅尔·吉布森 Mel Gibson,,,动作 传记 剧情 历史 战争,美国,,,,,,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2004174709.jpg,123,,https://movie.douban.com/subject/1294639/
10577869,时空恋旅人, About Time,2013,8.8,797319,理查德·柯蒂斯 Richard Curtis   主演: 多姆纳尔·格里森 Domhnall Gl... 2013,,,喜剧 爱情 奇幻,英国 美国,,,,,,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2070153774.jpg,124,,https://movie.douban.com/subject/10577869/
2353023,驯龙高手, How to Train Your Dragon,2010,8.8,869572,迪恩·德布洛斯 Dean DeBlois,,,动画 奇幻 冒险,美国,,,,,,和谐的生活离不开摸头与被摸头。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2210954024.jpg,125,,https://movie.douban.com/subject/2353023/
1418200,傲慢与偏见, Pride & Prejudice,2005,8.7,942611,乔·怀特 Joe Wright   主演: 凯拉·奈特莉 Keira Knightley,,,剧情 爱情,法国 英国 美国,,,,,,爱是摈弃傲慢与偏见之后的曙光。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2016401659.jpg,126,,https://movie.douban.com/subject/1418200/
21318488,消失的爱人, Gone Girl,2014,8.7,1077576,大卫·芬奇 David Fincher   主演: 本·阿弗莱克 Ben Affleck,,,剧情 犯罪 悬疑 惊悚,美国,,,,,,年度最佳date movie。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg,127,,https://movie.douban.com/subject/21318488/
1292337,无人知晓, 誰も知らない,2004,9.1,374411,是枝裕和 Hirokazu Koreeda   主演: 柳乐优弥 Yûya Yagira,,,剧情,日本,,,,,,我的平常生活就是他人的幸福。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p661160053.jpg,128,,https://movie.douban.com/subject/1292337/
1297447,倩女幽魂,,1987,8.8,838647,程小东 Siu-Tung Ching   主演: 张国荣 Leslie Cheung,,,爱情 奇幻 武侠 古装,中国香港,,,,,,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2918554634.jpg,129,,https://movie.douban.com/subject/1297447/
10437779,新世界, 신세계,2013,8.9,530918,朴勋政 Hoon-jung Park   主演: 李政宰 Jung-Jae Lee,,,剧情 犯罪,韩国,,,,,,要做就做得狠一点，这样才能活下去。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1903379979.jpg,130,,https://movie.douban.com/subject/10437779/
1291557,花样年华, 花樣年華,2000,8.8,809726,王家卫 Kar Wai Wong   主演: 张曼玉 Maggie Cheung,,,剧情 爱情,中国香港,,,,,,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2918312477.jpg,131,,https://movie.douban.com/subject/1291557/
